id,question,httpStatus,latencyMs,grounded,evidenceCount,matchingEvidenceCount,filterPrecision,usedDenseRetrieval,usedQwen,manualRelevanceScore,manualNotes,answer,error
Q01,Bugün sistemde hangi hatalar oluştu?,200,68.63,False,0,0,0.0,True,False,,,Soruyla eşleşen bir operasyon logu bulunamadı.,
Q02,Sistemde oluşan önemli hataları özetle.,200,67.08,True,12,12,1.0,True,False,,,Filtrelerle eşleşen 27 kayıt bulundu. Rapor için en ilgili 12 kayıt incelendi. Kaynak türleri: RUNTIME_LOG.,
Q03,Bugün hangi içerikler silindi?,200,28.73,False,0,0,0.0,True,False,,,Soruyla eşleşen bir operasyon logu bulunamadı.,
Q04,Bugün silinen haberler hangileri?,200,34.23,False,0,0,0.0,True,False,,,Soruyla eşleşen bir operasyon logu bulunamadı.,
Q05,Silinen projeleri raporla.,200,30.89,False,0,0,0.0,True,False,,,Soruyla eşleşen bir operasyon logu bulunamadı.,
Q06,Bugün hangi projeler güncellendi?,200,29.98,False,0,0,0.0,True,False,,,Soruyla eşleşen bir operasyon logu bulunamadı.,
Q07,Güncellenen yayınları listele.,200,59.71,True,12,0,0.0,True,False,,,Filtrelerle eşleşen 12 kayıt bulundu. Rapor için en ilgili 12 kayıt incelendi. Kaynak türleri: RUNTIME_LOG.,
Q08,Bugün eklenen öğrenciler var mı?,200,26.57,False,0,0,0.0,True,False,,,Soruyla eşleşen bir operasyon logu bulunamadı.,
Q09,Bugün silinen etkinlikleri göster.,200,24.31,False,0,0,0.0,True,False,,,Soruyla eşleşen bir operasyon logu bulunamadı.,
Q10,Son 3 saatte başarısız giriş oldu mu?,200,26.37,False,0,0,0.0,True,False,,,Soruyla eşleşen bir operasyon logu bulunamadı.,
Q11,Bugün engellenen giriş denemelerini raporla.,200,26.69,False,0,0,0.0,True,False,,,Soruyla eşleşen bir operasyon logu bulunamadı.,
Q12,Bugün başarılı giriş yapan kullanıcılar var mı?,200,26.68,False,0,0,0.0,True,False,,,Soruyla eşleşen bir operasyon logu bulunamadı.,
Q13,Son 24 saatte oluşan kritik hataları özetle.,200,58.1,True,12,12,1.0,True,False,,,Filtrelerle eşleşen 22 kayıt bulundu. Rapor için en ilgili 12 kayıt incelendi. Kaynak türleri: RUNTIME_LOG.,
Q14,Favicon ile ilgili hatalar nelerdir?,200,56.0,True,12,12,1.0,True,False,,,Filtrelerle eşleşen 27 kayıt bulundu. Rapor için en ilgili 12 kayıt incelendi. Kaynak türleri: RUNTIME_LOG.,
Q15,Bugün sistemde genel olarak neler oldu?,200,26.36,False,0,0,,True,False,,,Soruyla eşleşen bir operasyon logu bulunamadı.,
