id,question,requestLanguage,expectedLanguage,detectedAnswerLanguage,expectedIntent,actualIntent,expectedMode,actualMode,timeScope,fromTimeUtc,toTimeUtc,expectedGrounded,actualGrounded,evidenceCount,latencySeconds,latencyOk,toolsUsed,passed,failures,warnings,answer
daily-summary-tr,Bugün neler oldu?,tr,tr,tr,DAILY_SUMMARY,DAILY_SUMMARY,AGGREGATE,AGGREGATE,TODAY,2026-07-23T21:00:00Z,2026-07-24T15:24:04.137001Z,,True,20,42.67,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;qwen_report_generation;sqlite_telemetry,True,,,"Bugün (2026-07-24) saat 21:00 ile 15:24 arasında (İstanbul saati) toplam 147 olay kaydı incelendi. Bu olaylar, 146 adet çalışma logu ve 1 adet güvenlik logu içeriyor.

Ana olaylar:
- Sistem, /api/internal/rag/log-events rotasına 23 kez, /api/admin/runtime-logs/summary rotasına 21 kez, /api/admin/log-assistant/chat rotasına 17 kez erişildi.
- /api/publications, /api/news/active, /api/students ve /api/projects rotalarına sırasıyla 8, 6, 6 ve 6 kez erişildi.
- Tüm istekler 200 durum kodu ile başarılı bir şekilde tamamlandı.
- 2 adet hata (NoResourceFoundException) oluştu, bu durum sistemde kayıtlı bir kaynak bulunamadığı anlamına gelir.
- 1 adet başarılı giriş (LOGIN_SUCCESS) kaydı tespit edildi.

Tüm olaylar, sistem genelinde normal bir şekilde çalışmaktadır. Hata sayısı 2 olmasına rağmen, bu durum kritik seviyede değil. Sistem, belirtilen zaman diliminde tüm isteklerin başarılı şekilde işlendiğini göstermektedir.

Kaynaklar: RUNTIME_LOG, AUDIT_LOG"
daily-summary-en,What happened today?,en,en,en,DAILY_SUMMARY,DAILY_SUMMARY,AGGREGATE,AGGREGATE,TODAY,2026-07-23T21:00:00Z,2026-07-24T15:24:04.137001Z,,True,20,26.793,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;qwen_report_generation;sqlite_telemetry,True,,,"Today, from 21:00 UTC to 15:24 UTC (Europe/Istanbul time), the system recorded 147 events, primarily operational runtime logs. The majority of logs (140) were at the INFO level, indicating normal system operations. Key activities included successful HTTP requests to endpoints such as /api/internal/rag/log-events (23 requests), /api/publications (8), /api/news/active (6), /api/students (8), and /api/projects (6), all returning status code 200.

There were 2 errors, both of type ""NoResourceFoundException,"" and 4 warnings. No creation, update, or deletion events were recorded. One audit log entry recorded a successful login. All logs originated from the SPRING_BOOT application, with no critical errors or system failures.

Source types used: RUNTIME_LOG, AUDIT_LOG"
yesterday-summary-tr,Dün neler oldu?,tr,tr,tr,DAILY_SUMMARY,DAILY_SUMMARY,AGGREGATE,AGGREGATE,YESTERDAY,2026-07-22T21:00:00Z,2026-07-23T20:59:59.999999Z,,True,20,59.192,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;qwen_report_generation;sqlite_telemetry,True,,,"Dün (2026-07-22, 21:00 - 20:59 UTC) saatlerinde sistem, 583 adet log kaydı üretti. Bu kayıtların %98’i (575 adet) runtime log, 8 adeti audit log kaydı olarak sınıflandırıldı.

Ana operasyon durumu şu şekilde:

- Sistem, 15:20’de başlatıldı. Başlangıçta ""Demo1Application"" uygulaması 18.269 saniyede başlatıldı ve 22.697 saniye boyunca çalışıyor.
- Tomcat, 8080 portunda HTTP ile başlatıldı (context path: ""/"").
- Spring Boot, /actuator ve /swagger-ui.html gibi endpoint’lerin etkin olduğunu bildirdi. Bu endpoint’ler üretim ortamında olmamalı; bu durumun engellenmesi için yapılandırma ayarları gereklidir.
- Sistemde 27 hata, 52 uyarı ve 496 bilgilendirme mesajı oluştu.

En çok görülen hatalar:
- ""NoResourceFoundException"" (19 kez)
- ""HTTP"" (7 kez)

En çok erişilen yollar:
- `/api/internal/rag/log-events` (94 kez)
- `/api/admin/runtime-logs/summary` (43 kez)
- `/api/admin/log-assistant/chat` (33 kez)

Kullanıcı girişleri ile ilgili:
- 7 başarılı giriş, 1 başarısız giriş kaydı bulundu.

Not: Log kayıtları, 2026-07-23 tarihindeki 15:20’de başlayan bir başlangıç durumuyla sınırlı. Toplam 583 kayıt, sadece 6 adet örnek log ile temsil edildi. Bu nedenle, tüm operasyonların tamamı bu örneklerle açıklanamaz.

Kaynaklar: RUNTIME_LOG, AUDIT_LOG"
yesterday-summary-en,What happened yesterday?,en,en,en,DAILY_SUMMARY,DAILY_SUMMARY,AGGREGATE,AGGREGATE,YESTERDAY,2026-07-22T21:00:00Z,2026-07-23T20:59:59.999999Z,,True,20,34.001,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;qwen_report_generation;sqlite_telemetry,True,,,"Yesterday, from 21:00 UTC to 20:59 UTC (Europe/Istanbul timezone), the system recorded 583 events. The majority of logs (496) were informational (INFO), 52 were warnings (WARN), and 27 were errors (ERROR). 

Key operational activities included:
- The application started successfully at 15:20:21.633 UTC, with the Spring Boot application initialized and Tomcat running on port 8080.
- The system exposed Actuator endpoints at `/actuator` and served a welcome page from `static/index.html`.
- SpringDoc endpoints (`/swagger-ui.html` and `/v3/api-docs`) were enabled by default, which is a security concern in production environments.
- There were 7 HTTP 502 errors and 19 instances of ""NoResourceFoundException"", with no login events (no successful or failed logins).

No creation, update, or deletion events occurred. The top accessed paths were `/api/internal/rag/log-events` (94 times), followed by `/api/admin/runtime-logs/summary` (43 times).

The evidence provided is a sample of the full log data; the full dataset contains 583 records. 

Source types used: RUNTIME_LOG, AUDIT_LOG"
error-count-tr,Son 2 saatte kaç hata oluştu?,tr,tr,tr,ERROR_COUNT,ERROR_COUNT,AGGREGATE,AGGREGATE,RELATIVE,2026-07-24T13:24:04.137001Z,2026-07-24T15:24:04.137001Z,,False,0,0.011,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;sqlite_telemetry,True,,,Soruyla eşleşen bir operasyon logu bulunamadı.
error-count-en,How many errors occurred in the last two hours?,en,en,unknown,ERROR_COUNT,ERROR_COUNT,AGGREGATE,AGGREGATE,RELATIVE,2026-07-24T13:24:04.137001Z,2026-07-24T15:24:04.137001Z,,False,0,0.007,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;sqlite_telemetry,True,,Cevap dili kesin belirlenemedi.,No operational log matched the question.
deleted-yesterday-tr,Dün hangi kayıtlar silindi?,tr,tr,tr,AUDIT_DELETE_LIST,AUDIT_DELETE_LIST,FILTERED_LIST,FILTERED_LIST,YESTERDAY,2026-07-22T21:00:00Z,2026-07-23T20:59:59.999999Z,,False,0,0.008,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;sqlite_telemetry,True,,,Soruyla eşleşen bir operasyon logu bulunamadı.
deleted-yesterday-en,Which records were deleted yesterday?,en,en,unknown,AUDIT_DELETE_LIST,AUDIT_DELETE_LIST,FILTERED_LIST,FILTERED_LIST,YESTERDAY,2026-07-22T21:00:00Z,2026-07-23T20:59:59.999999Z,,False,0,0.007,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;sqlite_telemetry,True,,Cevap dili kesin belirlenemedi.,No operational log matched the question.
updated-news-tr,Bugün hangi haberler güncellendi?,tr,tr,tr,AUDIT_UPDATE_LIST,AUDIT_UPDATE_LIST,FILTERED_LIST,FILTERED_LIST,TODAY,2026-07-23T21:00:00Z,2026-07-24T15:24:04.137001Z,,False,0,0.008,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;sqlite_telemetry,True,,,Soruyla eşleşen bir operasyon logu bulunamadı.
updated-news-en,Which news items were updated today?,en,en,unknown,AUDIT_UPDATE_LIST,AUDIT_UPDATE_LIST,FILTERED_LIST,FILTERED_LIST,TODAY,2026-07-23T21:00:00Z,2026-07-24T15:24:04.137001Z,,False,0,0.008,True,bilingual_query_planner;qdrant_payload_filter;qdrant_scroll_retrieval;deterministic_operational_summary;sqlite_telemetry,True,,Cevap dili kesin belirlenemedi.,No operational log matched the question.
